mint gas,trade gas,cross chain fee
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
143082000333858,237093000553217,23691028397063884
