mint gas,trade gas,cross chain fee
155694017208748,298671030244118,50084300352558066
155694017199819,298671027699271,50084300352558066
155694017177151,298671030772969,50084300352558066
155694017144711,298671026720996,50084300352558066
155694017137119,298671031306029,50084300352558066
155694017111194,298671027713075,50084300352558066
155694017104964,298671030798493,50084300352558066
155694016911584,298671027067343,50084300352558066
155694016893148,298671027926596,50084300352558066
155694016866857,298671030822673,50084300352558066
155694016845904,298671028876338,50084300352558066
155694016838090,298671028642392,50084300352558066
155694016828819,298671026993570,50084300352558066
155694016799657,298671029169824,50084300352558066
155694016764101,298671027337641,50084300352558066
155694016739854,298671031186551,50084300352558066
155694016705111,298671028079134,50084300352558066
155694016673166,298671026719547,50084300352558066
155694016660763,298671030451118,50084300352558066
155694016643063,298671030612295,50084300352558066
155694016630110,298671031554300,50084300352558066
155694016611443,298671026533857,50084300352558066
155694016601364,298671029885270,50084300352558066
155694016554204,298671028841839,50084300352558066
155694016447735,298671029739004,50084300352558066
155694016381954,298671028125243,50084300352558066
155694016377096,298671026501361,50084300352558066
155694016348127,298671030539599,50084300352558066
155694016321640,298671028150882,50084300352558066
155694016294789,298671028531518,50084300352558066
155694016286749,298671028663956,50084300352558066
155694016283765,298671029247637,50084300352558066
155694016189057,298671029938632,50084300352558066
155694016114899,298671027978452,50084300352558066
155694016078170,298671029448324,50084300352558066
155694016076778,298671030914722,50084300352558066
155694016060833,298671030401445,50084300352558066
155694016036482,298671031061784,50084300352558066
155694016030815,298671030287530,50084300352558066
155694015998360,298671030926362,50084300352558066
155694015991610,298671026970541,50084300352558066
155694015942917,298671028867582,50084300352558066
155694015938715,298671031474751,50084300352558066
155694015930553,298671029646605,50084300352558066
155694015928615,298671027997503,50084300352558066
155694015874737,298671027034460,50084300352558066
155694015861259,298671027400987,50084300352558066
155694015828890,298671029966657,50084300352558066
155694015757140,298671031319258,50084300352558066
155694015705490,298671027584244,50084300352558066
155694015638244,298671028308766,50084300352558066
155694015569400,298671030165771,50084300352558066
155694015517502,298671029269758,50084300352558066
155694015482045,298671027122624,50084300352558066
155694015463331,298671028934456,50084300352558066
155694015413706,298671030066214,50084300352558066
155694015386715,298671031295686,50084300352558066
155694015306090,298671027742715,50084300352558066
155694015278644,298671029607520,50084300352558066
155694015258012,298671028871530,50084300352558066
155694015251057,298671029692487,50084300352558066
155694015247752,298671026568250,50084300352558066
155694015245208,298671030021507,50084300352558066
155694015235256,298671028499439,50084300352558066
155694015206114,298671029170201,50084300352558066
155694015129304,298671027613703,50084300352558066
155694015122856,298671029822326,50084300352558066
155694015050420,298671028971087,50084300352558066
155694015028441,298671030386169,50084300352558066
155694015012797,298671031167392,50084300352558066
155694014998522,298671028274188,50084300352558066
155694014954577,298671030027285,50084300352558066
155694014946624,298671028672416,50084300352558066
155694014946624,298671029369315,50084300352558066
155694014923196,298671027532514,50084300352558066
155694014855743,298671031421099,50084300352558066
155694014783965,298671029164318,50084300352558066
155694014765030,298671029791875,50084300352558066
155694014741800,298671027731693,50084300352558066
155694014739121,298671030965774,50084300352558066
155694014726180,298671027051545,50084300352558066
155694014667017,298671030528217,50084300352558066
155694014645653,298671028379137,50084300352558066
155694014633559,298671027565978,50084300352558066
155694014618757,298671029862627,50084300352558066
155694014617449,298671028781904,50084300352558066
155694014542699,298671029615791,50084300352558066
155694014531440,298671027676846,50084300352558066
155694014497273,298671027151108,50084300352558066
155694014460466,298671028059737,50084300352558066
155694014425439,298671029613583,50084300352558066
155694014410204,298671029669325,50084300352558066
155694014383057,298671026737251,50084300352558066
155694014267843,298671029649723,50084300352558066
155694014267689,298671027193817,50084300352558066
155694014220052,298671027179061,50084300352558066
155694014220052,298671027079504,50084300352558066
155694014012460,298671026780833,50084300352558066
155694013908664,298671026681276,50084300352558066
155694013908664,298671026880390,50084300352558066
