mint gas,trade gas,cross chain fee
404637299174896,345111698113944,37167896190567945
386598730396331,249437996549409,37167896190567945
384812332031250,436646275000000,46418270776623648
384184006600371,229364815126332,37167896190567945
382142642911875,399585995194137,37167896190567945
378660328715000,299093891720405,37167896190567945
373677698599605,326393095853093,37167896190567945
373410485156250,420593103125000,46418270776623648
373410485156250,414171834375000,46418270776623648
370560023437500,414171834375000,46418270776623648
368448324380501,365028389044706,37167896190567945
368045437500000,388921640625000,46418270776623648
367709561718750,416765039062500,46418270776623648
366305977753858,241502208717912,37167896190567945
364219802070215,405283250244103,37167896190567945
363741440182904,267700709815095,37167896190567945
362902900781250,398705220703125,46418270776623648
362008638281250,408429738281250,46418270776623648
362008638281250,404539931250000,46418270776623648
359661199218750,379256185546875,46418270776623648
359158176562500,405188232421875,46418270776623648
358431588281250,388486759375000,46418270776623648
358344872778355,251655448308314,37167896190567945
357659201265402,370304845770393,37167896190567945
357253505064573,363344510851899,37167896190567945
356307714843750,398705220703125,46418270776623648
354421245306775,228306036329639,37167896190567945
354244796763367,322923810959198,37167896190567945
350606791406250,398705220703125,46418270776623648
350324025626631,310368576226404,37167896190567945
348156371798986,314033134617398,37167896190567945
347756329687500,401946726562500,46418270776623648
346161509402928,243583226851574,37167896190567945
344905867968750,424637267578125,46418270776623648
344905867968750,420593103125000,46418270776623648
344397690523974,357517531620785,37167896190567945
342735883523784,308998131302679,37167896190567945
339204944531250,424637267578125,46418270776623648
339060824847558,270077567759269,37167896190567945
336354482812500,382497691406250,46418270776623648
334936198537344,315244688466815,37167896190567945
331324256250000,359807150390625,46418270776623648
330237610095468,370114640974944,37167896190567945
328915409593926,394632088162751,37167896190567945
325262891144373,255721312753717,37167896190567945
317555880096264,277443870395768,37167896190567945
315595709810336,353461035342969,37167896190567945
314333268750000,353169781250000,46418270776623648
314084873103084,366307704862314,37167896190567945
309532209628696,303345111644388,37167896190567945
306992864062500,343599621093750,46418270776623648
305444401041212,404801013997600,37167896190567945
304892384800785,297581548909798,37167896190567945
302692141680356,275948361235238,37167896190567945
299083673350459,348909787765717,37167896190567945
297869280766423,243855633136759,37167896190567945
297801314565974,288843658129582,37167896190567945
295964848808521,317380986296539,37167896190567945
288846787500000,321063437500000,46418270776623648
288762204996675,364282068200537,37167896190567945
285442199757962,389451040556839,37167896190567945
285046171875000,303404948437500,46418270776623648
284195419522945,248470606810889,37167896190567945
283103966150695,291214387409521,37167896190567945
283030154280797,380517217916548,37167896190567945
280612330565604,261270962603020,37167896190567945
269469161918328,234129904177949,37167896190567945
269368632398028,285746459375000,37167896190567945
263358349627761,328160923840307,37167896190567945
262994033834267,333429525708598,37167896190567945
262387771647203,290266591993193,37167896190567945
256536576746051,292224184809104,37167896190567945
253859033631034,270071004460880,37167896190567945
253188070312500,288957093750000,37167896190567945
251421126288015,271342412878754,37167896190567945
246774952114679,393644643719172,37167896190567945
246279892500000,263914145625000,37167896190567945
244103853750000,297946870000000,37167896190567945
243179705885950,278952228363363,37167896190567945
243178435770847,330894256638755,37167896190567945
242108608869479,222260105753185,37167896190567945
236542261142090,403163971254323,37167896190567945
236330223239577,355828429396648,37167896190567945
234479680637411,375513573109692,37167896190567945
231457491562500,236305777108922,37167896190567945
228858606954121,217880278893982,37167896190567945
219928708888175,283611141847394,37167896190567945
218963111170937,388497768816420,37167896190567945
215209859741778,227229560702672,37167896190567945
214734004600450,347888194318680,37167896190567945
212428887581498,390218377230763,37167896190567945
211775677914062,220657035212110,37167896190567945
210274445303248,368217149033302,37167896190567945
207012118110602,276486432947989,37167896190567945
200811171163867,295232401814678,37167896190567945
199817366460528,229239294375000,37167896190567945
197536997085528,215112503125000,37167896190567945
193481027894429,305767373182436,37167896190567945
189029297220104,321546278263396,37167896190567945
185201763750000,207956493046875,37167896190567945
